6500;Baja
8230;Balatonfüred
8174;Balatonkenese
8638;Balatonlelle
8651;Balatonszabadi Sóstó
4060;Balmazújváros
3070;Bátonyterenye
5600;Békéscsaba
;Budapest
2700;Cegléd
2141;Csömör
;Debrecen
2120;Dunakeszi
3300;Eger
8640;Fonyód
2131;Göd
2100;Gödöllő
2360;Gyál
8315;Gyenesdiás
2230;Gyömrő
3200;Gyöngyös
4220;Hajdúböszörmény
4200;Hajdúszoboszló
5100;Jászberény
5300;Karcag
6000;Kecskemét
8360;Keszthely
2234;Maglód
;Miskolc
2200;Monor
2142;Nagytarcsa
4400;Nyíregyháza
3060;Pásztó
2119;Pécel
3100;Salgótarján
8600;Siófok
2241;Sülysáp
2111;Szada
;Szeged
2315;Szigethalom
5000;Szolnok
2225;Üllő
2220;Vecsés
